tree_type,canonical_scenario,scenario_family,scenario_family_detailed,is_ordered_prehashed,scale_size,scale_label,final_scale,prebuild_scale,measured_insert_scale,bucket_start_pct,bucket_end_pct,bucket_mid_pct,run_count,avg_duration_ns,avg_duration_ns_p10,avg_duration_ns_p90,sample_count,sample_count_p10,sample_count_p90
avlhashtree,build_100k_then_reinsert_20k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,100000,100K,100000,100000,20000,90,100,95.0,10,2266.5,2240.5,2324.1,2000,2000,2000
avlhashtree,insert_only_build_200k,insert_only_build,insert_only_build,False,200000,200K,200000,0,200000,0,10,5.0,10,2166.0,2108.8,2189.6,20000,20000,20000
avlhashtree,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200000,200K,200000,0,200000,0,10,5.0,10,2063.5,1993.6,2120.2,20000,20000,20000
avlhashtree,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200000,200K,240000,200000,40000,0,10,5.0,10,3325.5,3241.9,3483.7,4000,4000,4000
avlhashtree,build_200k_then_reinsert_40k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,200000,200K,200000,200000,40000,0,10,5.0,10,2161.0,2111.2,2204.1,4000,4000,4000
avlhashtree,insert_only_build_200k,insert_only_build,insert_only_build,False,200000,200K,200000,0,200000,10,20,15.0,10,2430.5,2368.5,2467.6,20000,20000,20000
avlhashtree,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200000,200K,200000,0,200000,10,20,15.0,10,2252.5,2192.4,2311.7,20000,20000,20000
avlhashtree,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200000,200K,240000,200000,40000,10,20,15.0,10,3163.0,3116.4,3354.1,4000,4000,4000
avlhashtree,build_200k_then_reinsert_40k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,200000,200K,200000,200000,40000,10,20,15.0,10,2333.5,2300.0,2391.7,4000,4000,4000
avlhashtree,insert_only_build_200k,insert_only_build,insert_only_build,False,200000,200K,200000,0,200000,20,30,25.0,10,2508.0,2437.7,2566.2,20000,20000,20000
avlhashtree,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200000,200K,200000,0,200000,20,30,25.0,10,2378.5,2303.2,2399.9,20000,20000,20000
avlhashtree,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200000,200K,240000,200000,40000,20,30,25.0,10,3109.5,3083.2,3271.4,4000,4000,4000
avlhashtree,build_200k_then_reinsert_40k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,200000,200K,200000,200000,40000,20,30,25.0,10,2384.5,2360.0,2460.5,4000,4000,4000
avlhashtree,insert_only_build_200k,insert_only_build,insert_only_build,False,200000,200K,200000,0,200000,30,40,35.0,10,2671.5,2602.4,2708.8,20000,20000,20000
avlhashtree,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200000,200K,200000,0,200000,30,40,35.0,10,2328.0,2272.0,2347.9,20000,20000,20000
avlhashtree,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200000,200K,240000,200000,40000,30,40,35.0,10,3141.5,3085.4,3278.4,4000,4000,4000
avlhashtree,build_200k_then_reinsert_40k_existing,build_then_reinsert_existing,build_then_reinsert_existing,False,200000,200K,200000,200000,40000,30,40,35.0,10,2472.0,2438.4,2530.4,4000,4000,4000
avlhashtree,insert_only_build_200k,insert_only_build,insert_only_build,False,200000,200K,200000,0,200000,40,50,45.0,10,2696.0,2635.3,2779.9,20000,20000,20000
avlhashtree,prehashed_ordered_insert_only_200k,insert_only_build,prehashed_ordered_insert_only,True,200000,200K,200000,0,200000,40,50,45.0,10,2443.0,2398.4,2476.9,20000,20000,20000
avlhashtree,build_200k_then_add_40k_new,build_then_add_new,build_then_add_new,False,200000,200K,240000,200000,40000,40,50,45.0,10,3174.5,3119.9,3286.1,4000,4000,4000
